Gift Name,Coins
Rose,1
Ice Cream Cone,1
GG,1
Community Fest,1
TikTok,1
You're awesome,1
Love you so much,1
Heart Me,1
Thumbs Up,1
Heart,1
Cake Slice,1
Glow Stick,1
Love you,1
Candy Cane,1
Flame heart,1
Pumpkin,1
Squirrel,1
Go Popular,1
Club Cheers,1
Wink Charm,1
Team Bracelet,2
Finger Heart,5
Popcorn,5
Cheer You Up,9
Club Power,9
Rosa,10
Friendship Necklace,10
Journey Pass,10
Stitch,10
Heart Gaze,10
Perfume,20
Doughnut,30
Paper Crane,99
Little Crown,99
Cap,99
Hat and Mustache,99
Like-Pop,99
Love Painting,99
Bubble Gum,99
Mark of Love,99
Community Crown,99
Star,99
Club Victory,99
Level-up Sparks,99
Greeting Heart,99
Game Controller,100
Super GG,100
Tsar,100
Confetti,100
Hand Hearts,100
Marvelous Confetti,100
Singing Magic,100
Heart Rain,149
Bowknot,149
Big Shout Out,149
Chatting Popcorn,149
Love Charger,149
Sunglasses,199
Hearts,199
Garland Headpiece,199
Love You,199
Cheer For You,199
Panther Paws,199
Flower Festival,199
Suitcase,199
Driver Hat,199
Sparklers,199
Stinging Bee,199
Massage for You,199
Coffee Magic,199
Meerkat,199
Dancing Hands,199
Potato in Paris,199
Pinch Cheek,199
Stroke Hair,199
Cheering Crab,199
Night Star,199
Twinkling Star,199
Wooly Hat,199
Love Rain,199
Floating Octopus,199
Flower Headband,199
Rose Bear,199
Pinch Face,214
Candy Bouquet,249
Cheer Mic,249
Star Goggles,249
Gamer 2025,249
Hawaiian Lei,299
Boxing Gloves,299
Corgi,299
Fruit Friends,299
Elf's hat,299
Santa Claus's Cap,299
Naughty Chicken,299
Play for You,299
Rock Star,299
Elephant trunk,299
Butterfly for You,299
Starlight Compass,299
Puppy Kisses,299
United Heart,299
LIVE Ranking Crown,299
Budding Heart,299
Camping,299
Feather Mask,300
Backing Monkey,300
Forever Rosa,349
Magic Rhythm,399
Relaxed Goose,399
Tom's Hug,399
Rosie the Rose Bean,399
Jollie the Joy Bean,399
Rocky the Rock Bean,399
Sage the Smart Bean,399
Sage's Slash,399
Let butterfly dances,399
Kitten Kneading,399
Shoot the Apple,399
Alien Buddy,399
Jollie's Community,399
Crystal Dreams,399
Wishing Cake,400
Mic Champ,400
Bounce Speakers,400
Beating Heart,400
Encore Clap,449
Fairy Mask,449
Powerful Mind,450
Hat of Joy,450
Pink Dress,450
Coral,499
Im Just a Hamster,499
Hands Up,499
Eid Sheep,499
Money Gun,500
Shashlik,500
You're Amazing,500
VR Goggles,500
DJ Glasses,500
Manifesting,500
Couch Potato,500
Dragon Crown,500
Star Map Polaris,500
Racing Helmet,500
Helmet Reforged,500
XXXL Flowers,500
Flower Show,500
Gem Gun,500
Swan,500
Colorful Wings,699
Suncatcher,700
Train,800
Superstar,899
Travel with You,900
Lucky Airdrop Box,999
Trending Figure,999
Watermelon Love,999
Blooming Ribbons,1000
Galaxy,1000
Fairy Wings,1000
Flamingo Groove,1000
Shiny air balloon,1000
Sparkle Dance,1000
Fireworks,1000
Umbrella of Love,1088
Vibrant Stage,1200
Mischievous Stitch,1400
Chasing the Dream,1500
Lover's Lock,1500
Greeting Card,1500
Future Encounter,1500
Under Control,1500
Racing Debut,1500
Speed Beast,1500
Blooming Heart,1500
Here We Go,1599
Love Drop,1799
New Year Table,1800
Star of Red Carpet,1899
Gift Box,1999
Cooper Flies Home,1999
Mystery Firework,1999
Baby Dragon,1999
Whale Diving,2000
Jetski,2150
Blow Rosie Kisses,2199
Jollie's Heartland,2199
Rocky's Punch,2199
Sage's Coinbot,2199
Santa's House,2199
Animal Band,2200
Motorcycle,2500
Pink Dream,2988
LIVE Ranking Medal,2988
Illumination,2999
Rhythmic Bear,2999
Community Celebration,2999
Level-up Spotlight,2999
Meteor Shower,2999
Gift Box+,3000
Sakura Train,3999
Cosy Nights,3999
Neon Caravan,4000
Your Concert,4088
Private Jet,4500
Leon the Kitten,4888
Fiery Dragon,4888
Signature Jet,4888
Tom's Love,4888
Sage's Venture,4999
Flying Jets,4999
Wolf,5000
Devoted Heart,5500
Star Beach,5999
Future City,6000
Sam in New City,6000
Work Hard Play Harder,6000
Strong Finish,6000
Legendary Finish,6000
Lili the Leopard,6000
Celebration Time,6599
Happy Party,6999
Sports Car,6999
Star Throne,7000
Leon and Lili,7999
Interstellar,9699
Sunset Speedway,10000
Luxury Yacht,10000
Henry,10000
Falcon,10000
Red Lightning,10999
Mountains,12000
Level-up Spectacle,12000
Storm Blade,12999
Chrono Rewinder,14999
Crystal Heart,14999
Movie Time,14999
Rosa Nebula,15000
Future Journey,15000
Party On&On,15000
Amusement Park,15000
Diamond flight,17000
Fly Love,18000
TikTok Shuttle,19999
Premium Shuttle,20000
Infinite Heart,20000
Skyforge Citadel,23999
Phoenix,25999
Adam's Dream,25999
Griffin,25999
Light Castle,25999
Dragon Flame,25999
Lion,29999
Golden Car,29999
Leon and Lion,34000
TikTok Universe+,34999
TikTok Stars,39999
Thunder Falcon,39999
Fire Phoenix,41999
King Leonardo,42999
Pegasus,42999
Valerian's Oath,43999
TikTok Universe,44999 